date,applicant_id,unit_id,order_status,type_of_unit,req_no_of_units,selling_price_per_unit,order_type,net_balance_type1,net_balance_type2,type_of_change,rate,cost_per_gram,price_per_unit
27/6/2022,,NA,,,,,,,,,,,
28/6/2022,,NA,,,,,,,,,,,
